,N0 [atoms/b-cm],ZAID,XS [barns],MT,T chamber [Kelvin],P chamber [Pa],Theta,Xe Conc [atoms/b-cm]
0,0.0,10010,0.023982540127097007,102,468.0,489500.0,60.0,0.0
1,0.0,10020,3.8104613922135174e-05,102,468.0,489500.0,60.0,0.0
2,0.0,20030,2.2406088172381157e-06,102,468.0,489500.0,60.0,0.0
3,0.0,280600,0.20338779307349333,102,468.0,489500.0,60.0,0.0
4,0.0,280610,0.18937281895993424,102,468.0,489500.0,60.0,0.0
5,0.0,280620,1.0358202685352398,102,468.0,489500.0,60.0,0.0
6,0.0,280640,0.1122929374135977,102,468.0,489500.0,60.0,0.0
7,0.0,290630,0.37287229068536487,102,468.0,489500.0,60.0,0.0
8,0.0,290650,0.176858794935424,102,468.0,489500.0,60.0,0.0
9,0.0,30060,0.0027829622063255824,102,468.0,489500.0,60.0,0.0
10,0.0,300640,0.08045977018544581,102,468.0,489500.0,60.0,0.0
11,0.0,30070,0.003281018311870275,102,468.0,489500.0,60.0,0.0
12,0.0,310690,0.42632607939048234,102,468.0,489500.0,60.0,0.0
13,0.0,310710,0.8137691965364353,102,468.0,489500.0,60.0,0.0
14,0.0,320700,0.24610654911698404,102,468.0,489500.0,60.0,0.0
15,0.0,320720,0.07630739964255913,102,468.0,489500.0,60.0,0.0
16,0.0,320730,1.8230524416200664,102,468.0,489500.0,60.0,0.0
17,0.0,320740,0.04624832216382499,102,468.0,489500.0,60.0,0.0
18,0.0,320760,0.03261403696212621,102,468.0,489500.0,60.0,0.0
19,0.0,330740,4.853905171870524,102,468.0,489500.0,60.0,0.0
20,0.0,330750,1.2521346383246361,102,468.0,489500.0,60.0,0.0
21,0.0,340740,11.4982719639321,102,468.0,489500.0,60.0,0.0
22,0.0,340760,6.189291455886566,102,468.0,489500.0,60.0,0.0
23,0.0,340770,3.2447188875119872,102,468.0,489500.0,60.0,0.0
24,0.0,340780,0.10753116484002341,102,468.0,489500.0,60.0,0.0
25,0.0,340790,4.217603715143288,102,468.0,489500.0,60.0,0.0
26,0.0,340800,0.05796395225299839,102,468.0,489500.0,60.0,0.0
27,0.0,340820,0.008908333689424982,102,468.0,489500.0,60.0,0.0
28,0.0,350790,2.5542371623927367,102,468.0,489500.0,60.0,0.0
29,0.0,350810,0.9201628233781276,102,468.0,489500.0,60.0,0.0
30,0.0,360800,1.662044554008444,102,468.0,489500.0,60.0,0.0
