,N0 [atoms/b-cm],ZAID,XS [barns],MT,T chamber [Kelvin],P chamber [Pa],Theta,Xe Conc [atoms/b-cm]
0,0.0,10010,0.023516873149147417,102,2700.0,6890000.0,60.0,0.0
1,0.0,10020,3.736304150673975e-05,102,2700.0,6890000.0,60.0,0.0
2,0.0,20030,2.1966463333986113e-06,102,2700.0,6890000.0,60.0,0.0
3,0.0,280600,0.19932782169625013,102,2700.0,6890000.0,60.0,0.0
4,0.0,280610,0.18558455462509643,102,2700.0,6890000.0,60.0,0.0
5,0.0,280620,1.0151493995495824,102,2700.0,6890000.0,60.0,0.0
6,0.0,280640,0.11006621945124095,102,2700.0,6890000.0,60.0,0.0
7,0.0,290630,0.3650996797548068,102,2700.0,6890000.0,60.0,0.0
8,0.0,290650,0.1731941732012203,102,2700.0,6890000.0,60.0,0.0
9,0.0,30060,0.002728021166071694,102,2700.0,6890000.0,60.0,0.0
10,0.0,300640,0.07872948294430065,102,2700.0,6890000.0,60.0,0.0
11,0.0,30070,0.0032162547476505855,102,2700.0,6890000.0,60.0,0.0
12,0.0,310690,0.41414565060909,102,2700.0,6890000.0,60.0,0.0
13,0.0,310710,0.7929837905546813,102,2700.0,6890000.0,60.0,0.0
14,0.0,320700,0.24172924450828046,102,2700.0,6890000.0,60.0,0.0
15,0.0,320720,0.07473559778755111,102,2700.0,6890000.0,60.0,0.0
16,0.0,320730,1.7713906617055464,102,2700.0,6890000.0,60.0,0.0
17,0.0,320740,0.04526413464298101,102,2700.0,6890000.0,60.0,0.0
18,0.0,320760,0.031639543947912956,102,2700.0,6890000.0,60.0,0.0
19,0.0,330740,4.695223348024793,102,2700.0,6890000.0,60.0,0.0
20,0.0,330750,1.22118943385186,102,2700.0,6890000.0,60.0,0.0
21,0.0,340740,11.185326514230976,102,2700.0,6890000.0,60.0,0.0
22,0.0,340760,6.066175864818122,102,2700.0,6890000.0,60.0,0.0
23,0.0,340770,3.1752762028152866,102,2700.0,6890000.0,60.0,0.0
24,0.0,340780,0.10482143191711751,102,2700.0,6890000.0,60.0,0.0
25,0.0,340790,4.127807671985636,102,2700.0,6890000.0,60.0,0.0
26,0.0,340800,0.056744772127674134,102,2700.0,6890000.0,60.0,0.0
27,0.0,340820,0.008763844381507636,102,2700.0,6890000.0,60.0,0.0
28,0.0,350790,2.3415070092655292,102,2700.0,6890000.0,60.0,0.0
29,0.0,350810,0.8544622134469326,102,2700.0,6890000.0,60.0,0.0
30,0.0,360800,1.6193395880885924,102,2700.0,6890000.0,60.0,0.0
31,0.0,360820,3.1415801991605106,102,2700.0,6890000.0,60.0,0.0
32,0.0,360830,15.238116541128615,102,2700.0,6890000.0,60.0,0.0
33,0.0,360840,0.04030543676176005,102,2700.0,6890000.0,60.0,0.0
34,0.0,360850,0.1558737419709364,102,2700.0,6890000.0,60.0,0.0
35,0.0,360860,0.0006418079864214105,102,2700.0,6890000.0,60.0,0.0
36,0.0,370850,0.16215631402759131,102,2700.0,6890000.0,60.0,0.0
37,0.0,370860,0.6732392799289336,102,2700.0,6890000.0,60.0,0.0
38,0.0,370870,0.049900399858433475,102,2700.0,6890000.0,60.0,0.0
39,0.0,380840,0.24769226078677956,102,2700.0,6890000.0,60.0,0.0
40,0.0,380860,0.14633571950951918,102,2700.0,6890000.0,60.0,0.0
41,0.0,380870,2.65477595910143,102,2700.0,6890000.0,60.0,0.0
42,0.0,380880,0.0017803598900499966,102,2700.0,6890000.0,60.0,0.0
43,0.0,380890,0.03401741228167492,102,2700.0,6890000.0,60.0,0.0
44,0.0,380900,0.0034832726821666287,102,2700.0,6890000.0,60.0,0.0
45,0.0,390890,0.09884855576730238,102,2700.0,6890000.0,60.0,0.0
46,0.0,390900,0.2524734897175512,102,2700.0,6890000.0,60.0,0.0
47,0.0,390910,0.13772417818082291,102,2700.0,6890000.0,60.0,0.0
48,0.0,40090,0.0006436650240592315,102,2700.0,6890000.0,60.0,0.0
49,0.0013955,400900,0.008938281585663085,102,2700.0,6890000.0,60.0,0.0
50,0.00030771,400910,0.10946576405625853,102,2700.0,6890000.0,60.0,0.0
51,0.000475519,400920,0.026985814840655077,102,2700.0,6890000.0,60.0,0.0
52,0.0,400930,0.0,102,2700.0,6890000.0,60.0,0.0
53,0.000492387,400940,0.009429030578700372,102,2700.0,6890000.0,60.0,0.0
54,0.0,400950,0.0,102,2700.0,6890000.0,60.0,0.0
55,8.10186e-05,400960,0.055321353807408186,102,2700.0,6890000.0,60.0,0.0
56,0.0,410930,0.23391784582225378,102,2700.0,6890000.0,60.0,0.0
57,0.0,410940,2.6843313570567373,102,2700.0,6890000.0,60.0,0.0
58,0.0,410950,1.1053662065667993,102,2700.0,6890000.0,60.0,0.0
59,0.0,420940,0.05243853178852792,102,2700.0,6890000.0,60.0,0.0
60,0.0,420950,2.4511999180565747,102,2700.0,6890000.0,60.0,0.0
61,0.0,420960,0.30130814800780503,102,2700.0,6890000.0,60.0,0.0
62,0.0,420970,0.4195728959698369,102,2700.0,6890000.0,60.0,0.0
