,N0 [atoms/b-cm],ZAID,XS [barns],MT,T chamber [Kelvin],P chamber [Pa],Theta,Xe Conc [atoms/b-cm]
0,0.0,10010,0.023714118579768625,102,1693.0,2683750.0,60.0,0.0
1,0.0,10020,3.768901675552301e-05,102,1693.0,2683750.0,60.0,0.0
2,0.0,20030,2.215405865040553e-06,102,1693.0,2683750.0,60.0,0.0
3,0.0,280600,0.20108998377884485,102,1693.0,2683750.0,60.0,0.0
4,0.0,280610,0.18725971641947303,102,1693.0,2683750.0,60.0,0.0
5,0.0,280620,1.0240724843141145,102,1693.0,2683750.0,60.0,0.0
6,0.0,280640,0.11103859439979537,102,1693.0,2683750.0,60.0,0.0
7,0.0,290630,0.3683736310775325,102,1693.0,2683750.0,60.0,0.0
8,0.0,290650,0.1747918966868865,102,1693.0,2683750.0,60.0,0.0
9,0.0,30060,0.0027515551986728526,102,1693.0,2683750.0,60.0,0.0
10,0.0,300640,0.07955757640205975,102,1693.0,2683750.0,60.0,0.0
11,0.0,30070,0.003244001542103809,102,1693.0,2683750.0,60.0,0.0
12,0.0,310690,0.42062694543348317,102,1693.0,2683750.0,60.0,0.0
13,0.0,310710,0.8044496609018666,102,1693.0,2683750.0,60.0,0.0
14,0.0,320700,0.24391043102514512,102,1693.0,2683750.0,60.0,0.0
15,0.0,320720,0.07548214786150378,102,1693.0,2683750.0,60.0,0.0
16,0.0,320730,1.7968720496671884,102,1693.0,2683750.0,60.0,0.0
17,0.0,320740,0.04577526767607372,102,1693.0,2683750.0,60.0,0.0
18,0.0,320760,0.03197213079141043,102,1693.0,2683750.0,60.0,0.0
19,0.0,330740,4.784777595631596,102,1693.0,2683750.0,60.0,0.0
20,0.0,330750,1.2356995858280202,102,1693.0,2683750.0,60.0,0.0
21,0.0,340740,11.387133251404581,102,1693.0,2683750.0,60.0,0.0
22,0.0,340760,6.11848387414481,102,1693.0,2683750.0,60.0,0.0
23,0.0,340770,3.2065099932478467,102,1693.0,2683750.0,60.0,0.0
24,0.0,340780,0.10615518229010813,102,1693.0,2683750.0,60.0,0.0
25,0.0,340790,4.169453396187279,102,1693.0,2683750.0,60.0,0.0
26,0.0,340800,0.05738422074721319,102,1693.0,2683750.0,60.0,0.0
27,0.0,340820,0.008864438301918657,102,1693.0,2683750.0,60.0,0.0
28,0.0,350790,2.459156908938569,102,1693.0,2683750.0,60.0,0.0
29,0.0,350810,0.8996515991183505,102,1693.0,2683750.0,60.0,0.0
30,0.0,360800,1.6453274568254876,102,1693.0,2683750.0,60.0,0.0
31,0.0,360820,3.2819095410486825,102,1693.0,2683750.0,60.0,0.0
32,0.0,360830,15.409174912855736,102,1693.0,2683750.0,60.0,0.0
33,0.0,360840,0.04048263023671069,102,1693.0,2683750.0,60.0,0.0
34,0.0,360850,0.15757947055598687,102,1693.0,2683750.0,60.0,0.0
35,0.0,360860,0.0006496674091127837,102,1693.0,2683750.0,60.0,0.0
36,0.0,370850,0.16525086392639857,102,1693.0,2683750.0,60.0,0.0
37,0.0,370860,0.6897269584139162,102,1693.0,2683750.0,60.0,0.0
38,0.0,370870,0.050397850886691554,102,1693.0,2683750.0,60.0,0.0
39,0.0,380840,0.2516327582112532,102,1693.0,2683750.0,60.0,0.0
40,0.0,380860,0.14793857957022657,102,1693.0,2683750.0,60.0,0.0
41,0.0,380870,2.6801327057640076,102,1693.0,2683750.0,60.0,0.0
42,0.0,380880,0.0018041561380485818,102,1693.0,2683750.0,60.0,0.0
43,0.0,380890,0.03434882369132755,102,1693.0,2683750.0,60.0,0.0
44,0.0,380900,0.003532642163074837,102,1693.0,2683750.0,60.0,0.0
45,0.0,390890,0.09970500725872898,102,1693.0,2683750.0,60.0,0.0
46,0.0,390900,0.2548080377577046,102,1693.0,2683750.0,60.0,0.0
47,0.0,390910,0.13923913367943996,102,1693.0,2683750.0,60.0,0.0
48,0.0,40090,0.0006495174149204883,102,1693.0,2683750.0,60.0,0.0
49,0.0013955,400900,0.008980516215924621,102,1693.0,2683750.0,60.0,0.0
50,0.00030771,400910,0.10853108670745615,102,1693.0,2683750.0,60.0,0.0
51,0.000475519,400920,0.027147395285380144,102,1693.0,2683750.0,60.0,0.0
52,0.0,400930,0.0,102,1693.0,2683750.0,60.0,0.0
53,0.000492387,400940,0.00943100916538431,102,1693.0,2683750.0,60.0,0.0
54,0.0,400950,0.0,102,1693.0,2683750.0,60.0,0.0
55,8.10186e-05,400960,0.05334425070142545,102,1693.0,2683750.0,60.0,0.0
56,0.0,410930,0.2375138683313671,102,1693.0,2683750.0,60.0,0.0
57,0.0,410940,2.723464080265036,102,1693.0,2683750.0,60.0,0.0
58,0.0,410950,1.1220370853209527,102,1693.0,2683750.0,60.0,0.0
59,0.0,420940,0.053156474918487996,102,1693.0,2683750.0,60.0,0.0
60,0.0,420950,2.481568162456682,102,1693.0,2683750.0,60.0,0.0
61,0.0,420960,0.30562092477694364,102,1693.0,2683750.0,60.0,0.0
62,0.0,420970,0.4250485911028326,102,1693.0,2683750.0,60.0,0.0
63,0.0,420980,0.11316517234814419,102,1693.0,2683750.0,60.0,0.0
64,0.0,420990,1.1812199737685887,102,1693.0,2683750.0,60.0,0.0
65,0.0,421000,0.0779483684707389,102,1693.0,2683750.0,60.0,0.0
66,0.0,430990,6.09923455193198,102,1693.0,2683750.0,60.0,0.0
67,0.0,440980,0.7113829129344403,102,1693.0,2683750.0,60.0,0.0
68,0.0,440990,2.8791721377583603,102,1693.0,2683750.0,60.0,0.0
